key,original,translate,needCheck
filters/equipment_filters,Equipment Filters,裝備篩選器,
filters/equipment_filters/aps,Attacks per Second,每秒攻擊速度,
filters/equipment_filters/ar,Armour,護甲,
filters/equipment_filters/ar/tip,"Includes base value, local modifiers, and maximum quality",包含基礎值、區域詞綴和最大品質,
filters/equipment_filters/block,Block,格擋,
filters/equipment_filters/block/tip,Includes base value and local modifiers,包含基礎值和區域詞綴,
filters/equipment_filters/crit,Critical Chance,暴擊機率,
filters/equipment_filters/damage,Damage,傷害,
filters/equipment_filters/dps,Damage per Second,每秒傷害,
filters/equipment_filters/edps,Elemental DPS,元素傷害,
filters/equipment_filters/es,Energy Shield,能量護盾,
filters/equipment_filters/es/tip,"Includes base value, local modifiers, and maximum quality",包含基礎值、區域詞綴和最大品質,
filters/equipment_filters/ev,Evasion,閃避,
filters/equipment_filters/ev/tip,"Includes base value, local modifiers, and maximum quality",包含基礎值、區域詞綴和最大品質,
filters/equipment_filters/pdps,Physical DPS,物理傷害,
filters/equipment_filters/reload_time,Reload Time,重新載入時間,
filters/equipment_filters/rune_sockets,Augmentable Sockets,可增幅插槽,
filters/equipment_filters/spirit,Spirit,精魂,
filters/equipment_filters/spirit/tip,"Includes base value, local modifiers, and maximum quality",包含基礎值、區域詞綴和最大品質,
filters/equipment_filters/ward,Runic Ward,Runic Ward,
filters/equipment_filters/ward/tip,"Includes base value, local modifiers, and maximum quality",包含基礎值、區域詞綴和最大品質,
filters/map_filters,Endgame Filters,終局篩選器,
filters/map_filters/map_bonus,Waystone Drop Chance,換界石掉落機率,
filters/map_filters/map_experience,Waystone Experience,換界石經驗值獲取,
filters/map_filters/map_gold,Waystone Gold,換界石金幣數量,
filters/map_filters/map_iir,Waystone IIR,換界石物品稀有度,
filters/map_filters/map_iir/tip,Increased Item Rarity,物品稀有度增加,
filters/map_filters/map_magic_monsters,Monster Effectiveness,Monster Effectiveness,
filters/map_filters/map_packsize,Waystone Packsize,換界石怪物群大小,
filters/map_filters/map_rare_monsters,Monster Rarity,Monster Rarity,
filters/map_filters/map_revives,Waystone Revives,換界石復活次數,
filters/map_filters/map_tier,Waystone Tier,換界石階級,
filters/map_filters/ultimatum_hint,Ultimatum Trial Hint,最後通牒試煉提示,
filters/map_filters/ultimatum_hint/Cowardly,Cowardly,怯懦,
filters/map_filters/ultimatum_hint/Deadly,Deadly,致命,
